Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
100         | 0.1    | 4      | 26141779.43 | 0.98    
100         | 0.1    | 5      | 25343453.16 | 0.97    
100         | 1      | 1      | 21702212.12 | 0.86    
100         | 1      | 2      | 24165759.57 | 1.11    
100         | 1      | 3      | 25971690.25 | 1.07    
100         | 1      | 4      | 25847625.39 | 1.00    
100         | 1      | 5      | 25329970.39 | 0.98    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/5_it_en_fr_de_ro.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 19750.10 | 0.00    
25          | 0      | 2      | 19689.30 | 1.00    
25          | 0      | 3      | 20273.95 | 1.03    
25          | 0      | 4      | 21708.05 | 1.07    
25          | 0      | 5      | 23228.52 | 1.07    
25          | 0.01   | 1      | 21978.66 | 0.95    
25          | 0.01   | 2      | 24762.83 | 1.13    
25          | 0.01   | 3      | 27797.47 | 1.12    
25          | 0.01   | 4      | 26832.17 | 0.97    
25          | 0.01   | 5      | 25633.66 | 0.96    
25          | 0.1    | 1      | 21493.48 | 0.84    
25          | 0.1    | 2      | 23312.91 | 1.08    
25          | 0.1    | 3      | 25379.16 | 1.09    
25          | 0.1    | 4      | 25101.83 | 0.99    
25          | 0.1    | 5      | 24925.92 | 0.99    
25          | 1      | 1      | 21046.96 | 0.84    
25          | 1      | 2      | 22395.32 | 1.06    
25          | 1      | 3      | 24208.02 | 1.08    
25          | 1      | 4      | 24759.87 | 1.02    
25          | 1      | 5      | 25068.97 | 1.01    
50          | 0      | 1      | 19750.10 | 0.79    
50          | 0      | 2      | 19689.30 | 1.00    
50          | 0      | 3      | 20273.95 | 1.03    
50          | 0      | 4      | 21708.05 | 1.07    
50          | 0      | 5      | 23228.52 | 1.07    
50          | 0.01   | 1      | 21978.66 | 0.95    
50          | 0.01   | 2      | 24762.83 | 1.13    
50          | 0.01   | 3      | 27797.47 | 1.12    
50          | 0.01   | 4      | 26832.17 | 0.97    
50          | 0.01   | 5      | 25633.66 | 0.96    
50          | 0.1    | 1      | 21493.48 | 0.84    
50          | 0.1    | 2      | 23312.91 | 1.08    
50          | 0.1    | 3      | 25379.16 | 1.09    
50          | 0.1    | 4      | 25101.83 | 0.99    
50          | 0.1    | 5      | 24925.92 | 0.99    
50          | 1      | 1      | 21046.96 | 0.84    
50          | 1      | 2      | 22395.32 | 1.06    
50          | 1      | 3      | 24208.02 | 1.08    
50          | 1      | 4      | 24759.87 | 1.02    
50          | 1      | 5      | 25068.97 | 1.01    
100         | 0      | 1      | 19750.10 | 0.79    
100         | 0      | 2      | 19689.30 | 1.00    
100         | 0      | 3      | 20273.95 | 1.03    
100         | 0      | 4      | 21708.05 | 1.07    
100         | 0      | 5      | 23228.52 | 1.07    
100         | 0.01   | 1      | 21978.66 | 0.95    
100         | 0.01   | 2      | 24762.83 | 1.13    
100         | 0.01   | 3      | 27797.47 | 1.12    
100         | 0.01   | 4      | 26832.17 | 0.97    
100         | 0.01   | 5      | 25633.66 | 0.96    
100         | 0.1    | 1      | 21493.48 | 0.84    
100         | 0.1    | 2      | 23312.91 | 1.08    
100         | 0.1    | 3      | 25379.16 | 1.09    
100         | 0.1    | 4      | 25101.83 | 0.99    
100         | 0.1    | 5      | 24925.92 | 0.99    
100         | 1      | 1      | 21046.96 | 0.84    
100         | 1      | 2      | 22395.32 | 1.06    
100         | 1      | 3      | 24208.02 | 1.08    
100         | 1      | 4      | 24759.87 | 1.02    
100         | 1      | 5      | 25068.97 | 1.01    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_shakespear.txt
ref_size(%) | a      | K      | res      | ratio   
