Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 21520715.67 | 1.64    
25          | 2      | 0      | 21441003.41 | 1.00    
25          | 3      | 0      | 20444229.04 | 0.95    
25          | 4      | 0      | 21745727.34 | 1.06    
25          | 5      | 0      | 23691966.80 | 1.09    
25          | 1      | 0.01   | 21849818.77 | 0.92    
25          | 2      | 0.01   | 25794243.90 | 1.18    
25          | 3      | 0.01   | 29350011.75 | 1.14    
25          | 4      | 0.01   | 28145628.47 | 0.96    
25          | 5      | 0.01   | 26199522.30 | 0.93    
25          | 1      | 0.1    | 21759143.92 | 0.83    
25          | 2      | 0.1    | 24631042.50 | 1.13    
25          | 3      | 0.1    | 26811695.75 | 1.09    
25          | 4      | 0.1    | 26141779.43 | 0.98    
25          | 5      | 0.1    | 25343453.16 | 0.97    
25          | 1      | 1      | 21702212.12 | 0.86    
25          | 2      | 1      | 24165759.57 | 1.11    
25          | 3      | 1      | 25971690.25 | 1.07    
25          | 4      | 1      | 25847625.39 | 1.00    
25          | 5      | 1      | 25329970.39 | 0.98    
50          | 1      | 0      | 21520715.67 | 0.85    
50          | 2      | 0      | 21441003.41 | 1.00    
50          | 3      | 0      | 20444229.04 | 0.95    
50          | 4      | 0      | 21745727.34 | 1.06    
50          | 5      | 0      | 23691966.80 | 1.09    
50          | 1      | 0.01   | 21849818.77 | 0.92    
50          | 2      | 0.01   | 25794243.90 | 1.18    
50          | 3      | 0.01   | 29350011.75 | 1.14    
50          | 4      | 0.01   | 28145628.47 | 0.96    
50          | 5      | 0.01   | 26199522.30 | 0.93    
50          | 1      | 0.1    | 21759143.92 | 0.83    
50          | 2      | 0.1    | 24631042.50 | 1.13    
50          | 3      | 0.1    | 26811695.75 | 1.09    
50          | 4      | 0.1    | 26141779.43 | 0.98    
50          | 5      | 0.1    | 25343453.16 | 0.97    
50          | 1      | 1      | 21702212.12 | 0.86    
50          | 2      | 1      | 24165759.57 | 1.11    
50          | 3      | 1      | 25971690.25 | 1.07    
50          | 4      | 1      | 25847625.39 | 1.00    
50          | 5      | 1      | 25329970.39 | 0.98    
100         | 1      | 0      | 21520715.67 | 0.85    
100         | 2      | 0      | 21441003.41 | 1.00    
100         | 3      | 0      | 20444229.04 | 0.95    
100         | 4      | 0      | 21745727.34 | 1.06    
100         | 5      | 0      | 23691966.80 | 1.09    
100         | 1      | 0.01   | 21849818.77 | 0.92    
100         | 2      | 0.01   | 25794243.90 | 1.18    
100         | 3      | 0.01   | 29350011.75 | 1.14    
100         | 4      | 0.01   | 28145628.47 | 0.96    
100         | 5      | 0.01   | 26199522.30 | 0.93    
100         | 1      | 0.1    | 21759143.92 | 0.83    
100         | 2      | 0.1    | 24631042.50 | 1.13    
100         | 3      | 0.1    | 26811695.75 | 1.09    
100         | 4      | 0.1    | 26141779.43 | 0.98    
100         | 5      | 0.1    | 25343453.16 | 0.97    
100         | 1      | 1      | 21702212.12 | 0.86    
100         | 2      | 1      | 24165759.57 | 1.11    
100         | 3      | 1      | 25971690.25 | 1.07    
100         | 4      | 1      | 25847625.39 | 1.00    
100         | 5      | 1      | 25329970.39 | 0.98    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/5_it_en_fr_de_ro.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 19750.10 | 0.00    
25          | 2      | 0      | 19689.30 | 1.00    
25          | 3      | 0      | 20273.95 | 1.03    
25          | 4      | 0      | 21708.05 | 1.07    
25          | 5      | 0      | 23228.52 | 1.07    
25          | 1      | 0.01   | 21978.66 | 0.95    
25          | 2      | 0.01   | 24762.83 | 1.13    
25          | 3      | 0.01   | 27797.47 | 1.12    
25          | 4      | 0.01   | 26832.17 | 0.97    
25          | 5      | 0.01   | 25633.66 | 0.96    
25          | 1      | 0.1    | 21493.48 | 0.84    
25          | 2      | 0.1    | 23312.91 | 1.08    
25          | 3      | 0.1    | 25379.16 | 1.09    
25          | 4      | 0.1    | 25101.83 | 0.99    
25          | 5      | 0.1    | 24925.92 | 0.99    
25          | 1      | 1      | 21046.96 | 0.84    
25          | 2      | 1      | 22395.32 | 1.06    
25          | 3      | 1      | 24208.02 | 1.08    
25          | 4      | 1      | 24759.87 | 1.02    
